ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.math4.analysis.interpolation.BicubicInterpolator.interpolate(double[],double[],double[][]);5;51;21;39;4;12;1;37;20;17;5;5;7;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatorTest.testPreconditions();1;32;10;25;2;16;1;22;9;13;5;5;5;1;4;0;1;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatorTest.testPreconditions();36;1;1;31;0.9393939393939394;15;0.625;
org.apache.commons.math4.analysis.interpolation.BicubicInterpolator.interpolate(double[],double[],double[][]);5;51;21;39;4;12;1;37;20;17;5;5;7;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testPlane();0;47;17;37;1;1;0;22;17;5;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testPlane();3756;1;19;29;0.8787878787878788;14;0.5833333333333334;
org.apache.commons.math4.analysis.interpolation.BicubicInterpolator.interpolate(double[],double[],double[][]);5;51;21;39;4;12;1;37;20;17;5;5;7;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testParaboloid();0;47;17;37;1;1;0;22;17;5;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.interpolation.BicubicInterpolatingFunctionTest.testParaboloid();3756;1;19;29;0.8787878787878788;14;0.5833333333333334;
org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleWrongBounds();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleWrongBounds();5;0;0;4;0.3076923076923077;1;0.14285714285714285;
org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNegativeNumberOfPoints();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNegativeNumberOfPoints();4;0;0;3;0.23076923076923078;1;0.14285714285714285;
org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNullNumberOfPoints();1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSampleNullNumberOfPoints();4;0;0;3;0.23076923076923078;1;0.14285714285714285;
org.apache.commons.math4.analysis.FunctionUtils.sample(UnivariateFunction,double,double,int);13;17;4;11;5;8;1;12;4;8;4;4;4;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSample();1;10;6;7;3;2;0;10;7;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.analysis.FunctionUtilsTest.testSample();30;1;11;9;0.6923076923076923;4;0.5714285714285714;
org.apache.commons.math4.analysis.differentiation.JacobianFunction.value(double[]);4;17;5;12;4;6;1;19;8;11;4;4;4;1;0;0;2;0;org.apache.commons.math4.analysis.differentiation.JacobianFunctionTest.testSphere();1;15;6;10;6;4;1;17;9;8;4;4;4;1;0;0;3;0;org.apache.commons.math4.analysis.differentiation.JacobianFunctionTest.testSphere();43;1;5;16;1;10;0.7142857142857143;
org.apache.commons.math4.analysis.polynomials.PolynomialFunction.subtract(PolynomialFunction);5;17;4;12;5;6;1;15;6;9;4;4;4;1;1;0;2;0;org.apache.commons.math4.analysis.polynomials.PolynomialFunctionTest.testSubtraction();0;12;3;10;6;1;0;11;3;8;1;1;1;1;0;0;0;0;org.apache.commons.math4.analysis.polynomials.PolynomialFunctionTest.testSubtraction();12.5;1;1.5;9;0.6428571428571429;1;0.1111111111111111;
org.apache.commons.math4.analysis.polynomials.PolynomialFunction.subtract(PolynomialFunction);5;17;4;12;5;6;1;15;6;9;4;4;4;1;1;0;2;0;org.apache.commons.math4.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();0;7;3;4;4;2;0;7;4;3;2;2;2;1;0;0;1;0;org.apache.commons.math4.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();15.5;1;4.5;9;0.6428571428571429;1;0.1111111111111111;
