ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder1();0;6;3;4;4;1;0;3;2;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder1();17;1;4;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testValidationDocExample();0;11;4;9;11;1;0;8;3;5;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testValidationDocExample();19;1;5;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder16();0;8;3;6;5;1;0;2;2;0;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder16();21;1;6;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder17();0;9;4;7;10;1;0;6;3;3;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder17();21;1;6;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder2();0;9;4;7;7;1;0;4;3;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder2();19;1;5;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();0;10;5;8;8;1;0;5;4;1;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder3();19;1;5;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();1;37;7;30;5;1;0;26;7;19;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators1();17;1;4;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();0;14;6;10;5;1;0;7;5;2;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testExpressionBuilder4();17;1;4;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators2();1;29;8;22;6;1;0;21;8;13;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators2();17;1;4;10;0.7142857142857143;3;0.5;
net.objecthunter.exp4j.ExpressionBuilder.build();183;16;1;11;8;6;1;12;2;10;4;4;5;1;0;0;2;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators3();1;24;5;19;5;1;0;14;4;10;1;1;1;1;0;0;0;0;net.objecthunter.exp4j.ExpressionBuilderTest.testOperators3();17;1;4;10;0.7142857142857143;3;0.5;
