ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;ID;countInput;countLineCode;countLineCodeDecl;countLineCodeExe;countOutput;countPath;countPathLog;countStmt;countStmtDec;countStmtExe;cyclomatic;cyclomaticModified;cyclomaticStrict;essential;knots;maxEssentialKnots;maxNesting;minEssentialKnots;Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.cli.CommandLine.getOptionProperties(Option);3;20;3;9;6;5;1;11;4;7;5;5;5;1;1;0;3;0;org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();0;19;8;16;13;1;0;17;8;9;1;1;1;1;0;0;0;0;org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();26.5;1;6;14;1;18;0.6428571428571428;
org.apache.commons.cli.CommandLine.getOptionProperties(String);4;20;3;9;8;5;1;11;4;7;5;5;6;1;1;0;3;0;org.apache.commons.cli.CommandLineTest.testGetOptionProperties();0;17;6;14;13;1;0;15;6;9;1;1;1;1;0;0;0;0;org.apache.commons.cli.CommandLineTest.testGetOptionProperties();26.5;1;6;14;1;18;0.6428571428571428;
org.apache.commons.cli.CommandLine.getOptionProperties(String);4;20;3;9;8;5;1;11;4;7;5;5;6;1;1;0;3;0;org.apache.commons.cli.ParserTestCase.testPropertiesOption2();1;14;6;11;11;1;0;12;6;6;1;1;1;1;0;0;0;0;org.apache.commons.cli.ParserTestCase.testPropertiesOption2();21;1;3;13;0.9285714285714286;12;0.42857142857142855;
org.apache.commons.cli.CommandLine.getOptionValue(Option);17;9;2;4;2;2;0;5;2;3;3;3;3;1;1;0;1;0;org.apache.commons.cli.ValueTest.testShortNoArgWithOption();2;5;1;2;5;1;0;3;1;2;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testShortNoArgWithOption();5;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.cli.CommandLine.getOptionValue(Option);17;9;2;4;2;2;0;5;2;3;3;3;3;1;1;0;1;0;org.apache.commons.cli.ValueTest.testShortWithArgWithOption();2;6;1;3;6;1;0;4;1;3;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testShortWithArgWithOption();5;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.cli.CommandLine.getOptionValue(Option);17;9;2;4;2;2;0;5;2;3;3;3;3;1;1;0;1;0;org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();1;8;4;5;6;1;0;6;4;2;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();5;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.cli.CommandLine.getOptionValue(Option);17;9;2;4;2;2;0;5;2;3;3;3;3;1;1;0;1;0;org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();2;14;5;10;8;1;0;10;4;6;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();5;0;0;4;0.6666666666666666;1;0.5;
org.apache.commons.cli.CommandLine.getOptionValues(Option);8;12;2;5;7;3;0;7;3;4;4;4;4;1;0;0;2;0;org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();2;11;4;8;8;1;0;9;4;5;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333;
org.apache.commons.cli.CommandLine.getOptionValues(Option);8;12;2;5;7;3;0;7;3;4;4;4;4;1;0;0;2;0;org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();2;13;4;10;8;1;0;11;4;7;1;1;1;1;0;0;0;0;org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333;
org.apache.commons.cli.CommandLine.getParsedOptionValue(Option);4;13;2;6;4;3;0;7;2;5;3;3;3;3;2;2;1;2;org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();1;11;6;9;10;1;0;10;6;4;1;1;1;1;0;0;0;0;org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();6;0;0;5;0.5555555555555556;1;0.3333333333333333;
org.apache.commons.cli.CommandLine.getParsedOptionValue(Option);4;13;2;6;4;3;0;7;2;5;3;3;3;3;2;2;1;2;org.apache.commons.cli.CommandLineTest.testNullhOption();1;11;6;9;10;1;0;10;6;4;1;1;1;1;0;0;0;0;org.apache.commons.cli.CommandLineTest.testNullhOption();4;0;0;3;0.3333333333333333;1;0.3333333333333333;
org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean);17;26;3;11;6;16;1;11;1;10;5;5;8;1;1;0;1;0;org.apache.commons.cli.HelpFormatterTest.testHeaderStartingWithLineSeparator();1;16;6;13;3;1;0;8;6;2;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testHeaderStartingWithLineSeparator();10;0;0;9;0.6428571428571429;1;0.2;
org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean);17;26;3;11;6;16;1;11;1;10;5;5;8;1;1;0;1;0;org.apache.commons.cli.HelpFormatterTest.testIndentedHeaderAndFooter();1;17;6;14;3;1;0;8;6;2;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testIndentedHeaderAndFooter();10;0;0;9;0.6428571428571429;1;0.2;
org.apache.commons.cli.HelpFormatter.printHelp(PrintWriter,int,String,String,Options,int,int,String,boolean);17;26;3;11;6;16;1;11;1;10;5;5;8;1;1;0;1;0;org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();0;62;19;59;13;1;0;25;14;11;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();10;0;0;9;0.6428571428571429;1;0.2;
org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter,int,String,Options);14;32;6;17;17;14;1;18;7;11;6;6;6;1;1;0;3;0;org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();0;20;6;17;7;1;0;17;6;11;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();18.5;1;1.5;16;0.7272727272727273;9;0.14285714285714285;
org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter,int,String,Options);14;32;6;17;17;14;1;18;7;11;6;6;6;1;1;0;3;0;org.apache.commons.cli.HelpFormatterTest.testPrintUsage();1;16;8;13;6;1;0;14;8;6;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testPrintUsage();29;1;3;16;0.7272727272727273;10;0.15873015873015872;
org.apache.commons.cli.HelpFormatter.printUsage(PrintWriter,int,String,Options);14;32;6;17;17;14;1;18;7;11;6;6;6;1;1;0;3;0;org.apache.commons.cli.HelpFormatterTest.testPrintSortedUsage();1;18;4;12;6;1;0;12;5;7;1;1;1;1;0;0;0;0;org.apache.commons.cli.HelpFormatterTest.testPrintSortedUsage();29;1;3;16;0.7272727272727273;10;0.15873015873015872;
